game_pk,game_date_utc,team_side,team_id,team_name,team_abbrev,opponent_team_id,opponent_team_name,opponent_team_abbrev,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,carryover_weight,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_carryover_weight,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_carryover_weight,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,bullpen_carryover_weight,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
778557,2025-03-27T19:05:00+00:00,home,147,New York Yankees,NYY,158,Milwaukee Brewers,MIL,607074,Carlos Rodón,56.7,32.9,23.8,0.5802,5.0309,4.1235,0.9074,5.25,0.6,5.2667,3.8,1.4667,0.35,0.5432,0.6173,4.8025,4.4074,5.2593,3.8395,0.5135,0.3333,0.4,4.0,5.6667,5.8,5.4,0.5982,0.35,,,0,,,,,,,32.9,23.8,56.7,0.5802,51.45,0.5982,0.35,103,201,1,0.0,1,0.0,5.25,0.35,5.2667,7.7333,4.8,9.2,1.3333,1.4667,0.0,1.1333,15.1333,33.4667,0.325,0.3882,3.8,7.5333,3.3333,9.6,1.1333,0.2667,1.75,1.75,6.3,7.0,4.05,1.2,12.6,121.45,3.6,0.35,1,5.3333,1.6875,1.125,11.8125,3.375,1.6875,7.0,2.0,4.0,89.0,22.0,1,5.3333,1.6875,1.125,11.8125,3.375,1.6875,0,5.3333,1.0,4.0,2.0,7.0,89.0,33,74.0,255.0,0,1,0,1
778557,2025-03-27T19:05:00+00:00,away,158,Milwaukee Brewers,MIL,147,New York Yankees,NYY,642547,Freddy Peralta,56.7,32.55,24.15,0.5741,4.7963,3.9568,0.8395,5.25,0.5333,5.0667,4.5333,0.5333,-0.35,0.5802,0.5679,4.5309,3.9877,5.0617,3.9259,0.5283,0.6667,0.6,4.6667,3.0,4.0,2.6,0.595,0.35,,,0,,,,,,,32.55,24.15,56.7,0.5741,47.6,0.595,0.35,104,205,4,2.155,1,0.0,5.25,0.35,5.0667,8.2667,3.1333,10.4,0.9333,1.4667,0.3333,2.0,13.8667,33.5333,0.2929,0.3719,4.5333,8.4,3.2667,9.8667,1.1333,0.7333,1.75,1.75,5.6,7.7,1.2273,0.6818,8.5909,115.5,3.2,0.35,1,5.0,3.6,1.0,14.4,1.8,3.6,8.0,1.0,4.0,93.0,20.0,1,5.0,3.6,1.0,14.4,1.8,3.6,0,5.0,2.0,4.0,1.0,8.0,93.0,29,72.0,198.0,1,0,1,0
778556,2025-03-27T19:07:00+00:00,home,141,Toronto Blue Jays,TOR,110,Baltimore Orioles,BAL,621244,José Berríos,57.05,26.25,30.8,0.4601,4.1411,4.5644,-0.4233,5.25,0.3333,3.3333,4.4667,-1.1333,-1.05,0.4815,0.439,4.1235,4.8765,4.1585,4.2561,0.3878,0.0,0.2,2.3333,8.6667,3.6,6.6,0.4515,0.35,,,0,,,,,,,26.25,30.8,57.05,0.4601,-24.15,0.4515,0.35,103,201,12,6.825,5,6.825,5.25,0.35,3.3333,7.8667,3.3333,7.4667,0.5333,1.2,0.2,0.4,16.4,33.2667,0.2991,0.3286,4.4667,8.1333,3.4,7.6,0.9333,0.4,1.75,1.75,7.0,9.1,6.9231,1.6538,7.2692,145.6,4.0,0.35,1,5.0,10.8,2.2,9.0,3.6,5.4,5.0,2.0,9.0,90.0,24.0,1,5.0,10.8,2.2,9.0,3.6,5.4,0,5.0,6.0,9.0,2.0,5.0,90.0,31,72.0,205.0,1,0,1,0
778556,2025-03-27T19:07:00+00:00,away,110,Baltimore Orioles,BAL,141,Toronto Blue Jays,TOR,621107,Zach Eflin,57.05,31.85,25.2,0.5583,4.8282,4.3067,0.5215,5.25,0.5333,4.3333,4.1333,0.2,1.05,0.5432,0.5732,4.6296,4.321,5.0244,4.2927,0.4375,1.0,0.8,7.3333,2.0,6.4,4.6,0.5569,0.35,,,0,,,,,,,31.85,25.2,57.05,0.5583,29.75,0.5569,0.35,103,201,3,1.225,2,1.225,5.25,0.35,4.3333,8.8,2.8,9.2667,1.2667,1.5333,0.0667,0.6,13.7333,34.8667,0.2992,0.4003,4.1333,7.4,3.2,8.6,1.3333,0.2,1.75,1.75,7.0,7.4667,6.75,1.5,8.0156,127.4,4.0,0.35,1,6.0,3.0,0.5,3.0,1.5,1.5,2.0,1.0,2.0,78.0,21.0,1,6.0,3.0,0.5,3.0,1.5,1.5,0,6.0,2.0,2.0,1.0,2.0,78.0,31,78.0,220.0,1,0,1,0
778553,2025-03-27T20:05:00+00:00,home,140,Texas Rangers,TEX,111,Boston Red Sox,BOS,543135,Nathan Eovaldi,57.05,27.65,29.4,0.4847,4.2086,4.5337,-0.3252,5.25,0.4667,4.5333,4.6,-0.0667,1.05,0.5432,0.4268,4.1481,3.8889,4.2683,5.1707,0.5652,1.0,0.8,7.3333,3.3333,5.8,2.8,0.4629,0.35,,,0,,,,,,,27.65,29.4,57.05,0.4847,-18.55,0.4629,0.35,103,200,11,5.425,3,3.5,5.25,0.35,4.5333,7.9333,2.8667,8.4667,1.4,1.2,0.0667,0.8667,12.8667,34.1333,0.2771,0.3783,4.6,9.4,3.0667,8.1333,1.0,0.9333,1.75,1.75,5.6,7.2333,0.871,0.9677,8.2742,114.8,3.2,0.35,1,6.0,3.0,0.5,13.5,0.0,1.5,9.0,,3.0,87.0,21.0,1,6.0,3.0,0.5,13.5,0.0,1.5,0,6.0,2.0,3.0,0.0,9.0,87.0,36,74.0,217.0,1,0,1,0
778553,2025-03-27T20:05:00+00:00,away,111,Boston Red Sox,BOS,140,Texas Rangers,TEX,676979,Garrett Crochet,57.05,28.35,28.7,0.4969,4.6135,4.6074,0.0061,5.25,0.4667,3.6,3.4667,0.1333,0.35,0.4634,0.5309,4.4756,4.8902,4.7531,4.321,0.5806,0.3333,0.4,2.0,3.3333,2.6,4.2,0.5007,0.35,,,0,,,,,,,28.35,28.7,57.05,0.4969,0.35,0.5007,0.35,103,201,9,4.725,3,4.725,5.25,0.35,3.6,7.1333,3.1333,9.4,0.7333,1.6,0.0667,1.0,13.2,32.9333,0.2754,0.3321,3.4667,7.8667,3.2667,7.6,0.6,0.6667,1.75,1.75,7.35,7.0,2.25,1.3,6.3,110.95,4.2,0.35,1,5.0,3.6,1.4,7.2,3.6,0.0,4.0,2.0,5.0,88.0,21.0,1,5.0,3.6,1.4,7.2,3.6,0.0,0,5.0,2.0,5.0,2.0,4.0,88.0,26,78.0,245.0,0,1,0,1
778555,2025-03-27T20:05:00+00:00,home,120,Washington Nationals,WSH,143,Philadelphia Phillies,PHI,669022,MacKenzie Gore,56.7,24.85,31.85,0.4383,4.0741,4.716,-0.642,5.25,0.3333,2.9333,4.2,-1.2667,-0.35,0.4691,0.4074,4.0864,4.6049,4.0617,4.8272,0.3784,0.6667,0.4,6.0,3.3333,4.4,4.0,0.4274,0.35,,,0,,,,,,,24.85,31.85,56.7,0.4383,-36.4,0.4274,0.35,104,204,13,9.855,4,8.4,5.25,0.35,2.9333,7.7333,2.4667,7.9333,0.8667,0.9333,0.1333,1.0667,13.8667,32.9333,0.2834,0.3434,4.2,7.4,2.8667,8.0667,1.0,0.4667,1.75,1.75,6.65,6.7667,4.1897,0.931,6.0517,102.2,3.8,0.35,1,6.0,0.0,0.1667,19.5,0.0,0.0,13.0,,1.0,93.0,18.0,1,6.0,0.0,0.1667,19.5,0.0,0.0,0,6.0,0.0,1.0,0.0,13.0,93.0,27,74.0,193.0,0,1,0,1
778555,2025-03-27T20:05:00+00:00,away,143,Philadelphia Phillies,PHI,120,Washington Nationals,WSH,554430,Zack Wheeler,56.7,33.25,23.45,0.5864,4.8395,4.142,0.6975,5.25,0.4667,4.4667,4.6667,-0.2,0.35,0.6667,0.5062,5.0617,3.9753,4.6173,4.3086,0.5349,0.3333,0.4,3.3333,6.0,4.6,6.8,0.5772,0.35,,,0,,,,,,,33.25,23.45,56.7,0.5864,39.55,0.5772,0.35,104,204,2,1.455,1,0.0,5.25,0.35,4.4667,8.1333,2.4667,9.7333,1.3333,1.5333,0.1333,1.0667,12.1333,33.1333,0.2907,0.4104,4.6667,8.8667,3.4,9.0,1.0667,0.4,1.75,1.75,6.3,8.2833,5.7042,1.7746,8.7465,157.5,3.6,0.35,1,6.0,1.5,0.6667,12.0,3.0,1.5,8.0,2.0,2.0,97.0,20.0,1,6.0,1.5,0.6667,12.0,3.0,1.5,0,6.0,1.0,2.0,2.0,8.0,97.0,35,76.0,195.0,1,0,0,1
778558,2025-03-27T20:10:00+00:00,home,118,Kansas City Royals,KC,114,Cleveland Guardians,CLE,666142,Cole Ragans,56.7,30.1,26.6,0.5309,4.537,3.9753,0.5617,5.25,0.4,2.8,3.0667,-0.2667,0.35,0.5556,0.5062,4.7531,4.284,4.321,3.6667,0.4474,0.3333,0.6,1.6667,2.3333,3.0,2.2,0.5657,0.35,,,0,,,,,,,30.1,26.6,56.7,0.5309,31.85,0.5657,0.35,103,202,5,2.8,2,2.275,5.25,0.35,2.8,6.3333,3.3333,9.2667,0.5333,1.0667,0.2667,0.9333,14.4667,32.5333,0.2653,0.2883,3.0667,6.9333,3.3333,9.9333,0.7333,0.8,1.75,1.75,6.3,8.05,0.3913,0.8696,9.7826,134.75,3.6,0.35,1,5.0,5.4,1.4,5.4,3.6,0.0,3.0,2.0,5.0,83.0,22.0,1,5.0,5.4,1.4,5.4,3.6,0.0,0,5.0,3.0,5.0,2.0,3.0,83.0,28,76.0,190.0,0,1,0,1
778558,2025-03-27T20:10:00+00:00,away,114,Cleveland Guardians,CLE,118,Kansas City Royals,KC,594902,Ben Lively,56.35,32.2,24.15,0.5714,4.3975,3.8571,0.5404,5.25,0.5333,3.4,2.8667,0.5333,-0.7,0.625,0.5185,4.675,3.9875,4.1235,3.7284,0.5778,0.3333,0.4,3.3333,3.6667,3.4,2.8,0.5652,0.35,,,0,,,,,,,32.2,24.15,56.35,0.5714,30.45,0.5652,0.35,103,202,2,0.525,1,0.0,5.25,0.35,3.4,7.3333,2.4667,8.3333,1.1333,1.5333,0.1333,0.6,11.2667,32.2,0.2796,0.3834,2.8667,7.1333,3.0667,9.3333,0.5333,0.8667,1.75,1.75,7.0,7.7,1.6364,1.1818,8.1818,116.9,4.0,0.35,1,5.0,5.4,0.8,5.4,0.0,1.8,3.0,,4.0,67.0,19.0,1,5.0,5.4,0.8,5.4,0.0,1.8,0,5.0,3.0,4.0,0.0,3.0,67.0,34,76.0,235.0,1,0,1,0
