game_pk,game_date_utc,status,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,home_score,away_score,target_home_team_win,is_doubleheader,home_team_games_played,home_team_wins,home_team_losses,home_team_win_pct,home_team_runs_scored_avg,home_team_runs_allowed_avg,home_team_run_diff_avg,home_team_recent_games,home_team_recent_win_pct,home_team_recent_runs_scored_avg,home_team_recent_runs_allowed_avg,home_team_recent_run_diff_avg,home_team_streak,home_team_home_win_pct,home_team_away_win_pct,home_team_home_runs_scored_avg,home_team_home_runs_allowed_avg,home_team_away_runs_scored_avg,home_team_away_runs_allowed_avg,home_team_one_run_win_pct,home_team_recent3_win_pct,home_team_recent5_win_pct,home_team_recent3_runs_scored_avg,home_team_recent3_runs_allowed_avg,home_team_recent5_runs_scored_avg,home_team_recent5_runs_allowed_avg,home_team_pythag_win_pct,home_team_rest_days,home_team_played_yesterday,home_team_games_last_7_days,home_team_travel_distance_km,home_team_last_game_was_home,home_team_last_game_margin,home_team_last_game_runs_scored,home_team_last_game_runs_allowed,home_team_last_game_won,away_team_games_played,away_team_wins,away_team_losses,away_team_win_pct,away_team_runs_scored_avg,away_team_runs_allowed_avg,away_team_run_diff_avg,away_team_recent_games,away_team_recent_win_pct,away_team_recent_runs_scored_avg,away_team_recent_runs_allowed_avg,away_team_recent_run_diff_avg,away_team_streak,away_team_home_win_pct,away_team_away_win_pct,away_team_home_runs_scored_avg,away_team_home_runs_allowed_avg,away_team_away_runs_scored_avg,away_team_away_runs_allowed_avg,away_team_one_run_win_pct,away_team_recent3_win_pct,away_team_recent5_win_pct,away_team_recent3_runs_scored_avg,away_team_recent3_runs_allowed_avg,away_team_recent5_runs_scored_avg,away_team_recent5_runs_allowed_avg,away_team_pythag_win_pct,away_team_rest_days,away_team_played_yesterday,away_team_games_last_7_days,away_team_travel_distance_km,away_team_last_game_was_home,away_team_last_game_margin,away_team_last_game_runs_scored,away_team_last_game_runs_allowed,away_team_last_game_won,home_standings_wins,home_standings_losses,home_standings_games_played,home_standings_win_pct,home_standings_run_diff,home_standings_pythag_win_pct,home_standings_league_id,home_standings_division_id,home_standings_league_rank,home_standings_league_games_back,home_standings_division_rank,home_standings_division_games_back,away_standings_wins,away_standings_losses,away_standings_games_played,away_standings_win_pct,away_standings_run_diff,away_standings_pythag_win_pct,away_standings_league_id,away_standings_division_id,away_standings_league_rank,away_standings_league_games_back,away_standings_division_rank,away_standings_division_games_back,h2h_games,h2h_recent_games,h2h_home_team_recent_win_pct,h2h_home_team_recent_run_diff_avg,h2h_last_meeting_home_team_won,home_bullpen_recent_games,home_bullpen_games_with_relief,home_bullpen_relievers_used,home_bullpen_innings_pitched,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_pitches,home_bullpen_avg_relievers_per_game,away_bullpen_recent_games,away_bullpen_games_with_relief,away_bullpen_relievers_used,away_bullpen_innings_pitched,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_pitches,away_bullpen_avg_relievers_per_game,home_pitcher_recent_appearances,home_pitcher_recent_innings_pitched,home_pitcher_recent_era,home_pitcher_recent_whip,home_pitcher_recent_k_per_9,home_pitcher_recent_bb_per_9,home_pitcher_recent_hr_per_9,home_pitcher_recent_strikeouts,home_pitcher_recent_walks,home_pitcher_recent_hits_allowed,home_pitcher_recent_pitches,home_pitcher_recent_batters_faced,home_pitcher_season_appearances,home_pitcher_season_innings_pitched,home_pitcher_season_era,home_pitcher_season_whip,home_pitcher_season_k_per_9,home_pitcher_season_bb_per_9,home_pitcher_season_hr_per_9,home_pitcher_days_since_last_appearance,home_pitcher_last_appearance_innings_pitched,home_pitcher_last_appearance_earned_runs,home_pitcher_last_appearance_hits,home_pitcher_last_appearance_walks,home_pitcher_last_appearance_strikeouts,home_pitcher_last_appearance_pitches,away_pitcher_recent_appearances,away_pitcher_recent_innings_pitched,away_pitcher_recent_era,away_pitcher_recent_whip,away_pitcher_recent_k_per_9,away_pitcher_recent_bb_per_9,away_pitcher_recent_hr_per_9,away_pitcher_recent_strikeouts,away_pitcher_recent_walks,away_pitcher_recent_hits_allowed,away_pitcher_recent_pitches,away_pitcher_recent_batters_faced,away_pitcher_season_appearances,away_pitcher_season_innings_pitched,away_pitcher_season_era,away_pitcher_season_whip,away_pitcher_season_k_per_9,away_pitcher_season_bb_per_9,away_pitcher_season_hr_per_9,away_pitcher_days_since_last_appearance,away_pitcher_last_appearance_innings_pitched,away_pitcher_last_appearance_earned_runs,away_pitcher_last_appearance_hits,away_pitcher_last_appearance_walks,away_pitcher_last_appearance_strikeouts,away_pitcher_last_appearance_pitches
823243,2026-03-27T20:35:00+00:00,Final,Oracle Park,137,San Francisco Giants,147,New York Yankees,592662,Robbie Ray,693645,Cam Schlittler,0,3,0,0,1,0,1,0.0,0.0,7.0,-7.0,1,0.0,0.0,7.0,-7.0,-1,0.0,,0.0,7.0,,,,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0,1,1,,1,-7,0,7,0,1,1,0,1.0,7.0,0.0,7.0,1,1.0,7.0,0.0,7.0,1,,1.0,,,7.0,0.0,,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0,1,1,,0,7,7,0,1,0,1,1,0.0,-7,0.0,104,203,15,1.0,5,1.0,1,0,1,1.0,7,1.0,103,201,1,0.0,1,0.0,1,1,0.0,-7.0,0,1,1,3,4.0,0.0,0.75,11.25,51.0,3.0,1,1,3,2.6667,0.0,0.75,6.75,35.0,3.0,1,5.3333,3.375,0.9375,6.75,0.0,1.6875,4.0,,5.0,89.0,21.0,1,5.3333,3.375,0.9375,6.75,0.0,1.6875,0,5.3333,2.0,5.0,0.0,4.0,89.0,1,5.3333,0.0,0.1875,13.5,0.0,0.0,8.0,,1.0,68.0,17.0,1,5.3333,0.0,0.1875,13.5,0.0,0.0,0,5.3333,0.0,1.0,0.0,8.0,68.0
822839,2026-03-27T23:07:00+00:00,Final,Rogers Centre,141,Toronto Blue Jays,133,Athletics,592332,Kevin Gausman,622663,Luis Severino,3,2,1,0,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,7,1.0,4,1.0,0,0,0,0.0,0,,103,200,8,1.0,2,0.5,0,0,,,,0,0,0,,,,,,,0,0,0,,,,,,,1,6.0,1.5,0.1667,16.5,0.0,1.5,11.0,,1.0,83.0,19.0,1,6.0,1.5,0.1667,16.5,0.0,1.5,0,6.0,1.0,1.0,0.0,11.0,83.0,1,5.0,3.6,1.2,5.4,5.4,0.0,3.0,3.0,3.0,84.0,20.0,1,5.0,3.6,1.2,5.4,5.4,0.0,0,5.0,2.0,3.0,3.0,3.0,84.0
823893,2026-03-27T23:10:00+00:00,Final,loanDepot park,146,Miami Marlins,115,Colorado Rockies,645261,Sandy Alcantara,607536,Kyle Freeland,2,1,1,0,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,7,0.5,4,0.5,0,0,0,0.0,0,,104,203,8,0.5,2,0.5,0,0,,,,0,0,0,,,,,,,0,0,0,,,,,,,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,5.0,2.0,4.0,73.0,25.0,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,0,7.0,0.0,4.0,2.0,5.0,73.0,1,4.3333,4.1538,1.6154,4.1538,4.1538,0.0,2.0,2.0,5.0,81.0,21.0,1,4.3333,4.1538,1.6154,4.1538,4.1538,0.0,0,4.3333,2.0,5.0,2.0,2.0,81.0
824946,2026-03-27T23:15:00+00:00,Final,Truist Park,144,Atlanta Braves,118,Kansas City Royals,519242,Chris Sale,666142,Cole Ragans,6,0,1,0,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,8,0.5,5,0.5,0,0,0,0.0,0,,103,202,8,1.0,3,0.5,0,0,,,,0,0,0,,,,,,,0,0,0,,,,,,,1,6.0,0.0,1.0,9.0,4.5,0.0,6.0,3.0,3.0,88.0,23.0,1,6.0,0.0,1.0,9.0,4.5,0.0,0,6.0,0.0,3.0,3.0,6.0,88.0,1,4.0,9.0,2.5,11.25,9.0,6.75,5.0,4.0,6.0,90.0,21.0,1,4.0,9.0,2.5,11.25,9.0,6.75,0,4.0,4.0,6.0,4.0,5.0,90.0
824216,2026-03-28T00:15:00+00:00,Final,Daikin Park,117,Houston Astros,108,Los Angeles Angels,681347,Mike Burrows,579328,Yusei Kikuchi,2,6,0,0,1,0,1,0.0,0.0,3.0,-3.0,1,0.0,0.0,3.0,-3.0,-1,0.0,,0.0,3.0,,,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1,0,1,,1,-3,0,3,0,1,1,0,1.0,3.0,0.0,3.0,1,1.0,3.0,0.0,3.0,1,,1.0,,,3.0,0.0,,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1,0,1,,0,3,3,0,1,0,1,1,0.0,-3,0.0,103,200,13,1.5,5,1.0,1,0,1,1.0,3,1.0,103,200,4,0.5,1,0.0,1,1,0.0,-3.0,0,1,1,3,4.3333,6.2308,1.6154,10.3846,91.0,3.0,1,1,4,3.0,0.0,1.0,6.0,39.0,4.0,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,6.0,2.0,9.0,94.0,26.0,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,1,5.6667,5.0,9.0,2.0,6.0,94.0,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,3.0,1.0,8.0,86.0,22.0,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,1,4.3333,2.0,8.0,1.0,3.0,86.0
823324,2026-03-28T01:40:00+00:00,Final,Petco Park,135,San Diego Padres,116,Detroit Tigers,650633,Michael King,664285,Framber Valdez,2,5,0,0,1,0,1,0.0,2.0,8.0,-6.0,1,0.0,2.0,8.0,-6.0,-1,0.0,,2.0,8.0,,,,0.0,0.0,2.0,8.0,2.0,8.0,0.0588,1,0,1,,1,-6,2,8,0,1,1,0,1.0,8.0,2.0,6.0,1,1.0,8.0,2.0,6.0,1,,1.0,,,8.0,2.0,,1.0,1.0,8.0,2.0,8.0,2.0,0.9412,1,0,1,,0,6,8,2,1,0,1,1,0.0,-6,0.0588,104,203,13,1.0,3,1.0,1,0,1,1.0,6,0.9412,103,202,3,0.5,1,0.0,1,1,0.0,-6.0,0,1,1,4,6.0,3.0,1.0,9.0,97.0,4.0,1,1,3,3.0,3.0,1.6667,3.0,54.0,3.0,1,5.0,0.0,1.0,10.8,7.2,0.0,6.0,4.0,1.0,82.0,20.0,1,5.0,0.0,1.0,10.8,7.2,0.0,1,5.0,0.0,1.0,4.0,6.0,82.0,1,6.0,1.5,1.3333,7.5,1.5,0.0,5.0,1.0,7.0,83.0,25.0,1,6.0,1.5,1.3333,7.5,1.5,0.0,1,6.0,1.0,7.0,1.0,5.0,83.0
823162,2026-03-28T01:45:00+00:00,Final,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,669923,George Kirby,668909,Gavin Williams,5,1,1,0,1,0,1,0.0,4.0,6.0,-2.0,1,0.0,4.0,6.0,-2.0,-1,0.0,,4.0,6.0,,,,0.0,0.0,4.0,6.0,4.0,6.0,0.3077,0,1,1,,1,-2,4,6,0,1,1,0,1.0,6.0,4.0,2.0,1,1.0,6.0,4.0,2.0,1,,1.0,,,6.0,4.0,,1.0,1.0,6.0,4.0,6.0,4.0,0.6923,0,1,1,,0,2,6,4,1,0,1,1,0.0,-2,0.3077,103,200,12,1.5,4,1.5,1,0,1,1.0,2,0.6923,103,202,5,0.5,2,0.5,1,1,0.0,-2.0,0,1,1,4,3.6667,7.3636,2.4545,9.8182,77.0,4.0,1,1,4,4.0,2.25,0.5,15.75,55.0,4.0,1,6.0,1.5,0.6667,9.0,3.0,1.5,6.0,2.0,2.0,90.0,22.0,1,6.0,1.5,0.6667,9.0,3.0,1.5,1,6.0,1.0,2.0,2.0,6.0,90.0,1,5.0,5.4,1.6,12.6,10.8,1.8,7.0,6.0,2.0,89.0,22.0,1,5.0,5.4,1.6,12.6,10.8,1.8,1,5.0,3.0,2.0,6.0,7.0,89.0
823971,2026-03-28T02:10:00+00:00,Final,UNIQLO Field at Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,686218,Emmet Sheehan,669194,Ryne Nelson,5,4,1,0,1,1,0,1.0,8.0,2.0,6.0,1,1.0,8.0,2.0,6.0,1,1.0,,8.0,2.0,,,,1.0,1.0,8.0,2.0,8.0,2.0,0.9412,0,1,1,,1,6,8,2,1,1,0,1,0.0,2.0,8.0,-6.0,1,0.0,2.0,8.0,-6.0,-1,,0.0,,,2.0,8.0,,0.0,0.0,2.0,8.0,2.0,8.0,0.0588,0,1,1,,0,-6,2,8,0,1,0,1,1.0,6,0.9412,104,203,3,0.0,1,0.0,0,1,1,0.0,-6,0.0588,104,203,13,1.0,3,1.0,1,1,1.0,6.0,1,1,1,3,3.0,0.0,0.3333,6.0,32.0,3.0,1,1,4,4.0,9.0,2.0,4.5,77.0,4.0,1,3.3333,10.8,2.1,16.2,5.4,2.7,6.0,2.0,5.0,83.0,16.0,1,3.3333,10.8,2.1,16.2,5.4,2.7,1,3.3333,4.0,5.0,2.0,6.0,83.0,1,4.6667,7.7143,1.0714,7.7143,5.7857,3.8571,4.0,3.0,2.0,83.0,19.0,1,4.6667,7.7143,1.0714,7.7143,5.7857,3.8571,1,4.6667,4.0,2.0,3.0,4.0,83.0
823082,2026-03-28T18:15:00+00:00,Final,Busch Stadium,138,St. Louis Cardinals,139,Tampa Bay Rays,700241,Michael McGreevy,671212,Joe Boyle,6,5,1,0,1,1,0,1.0,9.0,7.0,2.0,1,1.0,9.0,7.0,2.0,1,1.0,,9.0,7.0,,,,1.0,1.0,9.0,7.0,9.0,7.0,0.6231,1,0,1,,1,2,9,7,1,1,0,1,0.0,7.0,9.0,-2.0,1,0.0,7.0,9.0,-2.0,-1,,0.0,,,7.0,9.0,,0.0,0.0,7.0,9.0,7.0,9.0,0.3769,1,0,1,,0,-2,7,9,0,1,0,1,1.0,2,0.6231,104,205,6,0.0,2,0.0,0,1,1,0.0,-2,0.3769,103,201,11,1.5,5,1.5,1,1,1.0,2.0,1,1,1,6,4.0,13.5,3.5,6.75,90.0,6.0,1,1,4,3.0,24.0,3.6667,3.0,72.0,4.0,1,6.0,0.0,0.3333,7.5,3.0,0.0,5.0,2.0,,96.0,21.0,1,6.0,0.0,0.3333,7.5,3.0,0.0,0,6.0,0.0,0.0,2.0,5.0,96.0,1,6.0,3.0,0.5,6.0,0.0,0.0,4.0,,3.0,75.0,21.0,1,6.0,3.0,0.5,6.0,0.0,0.0,0,6.0,2.0,3.0,0.0,4.0,75.0
824701,2026-03-28T18:20:00+00:00,Final,Wrigley Field,112,Chicago Cubs,120,Washington Nationals,690990,Cade Horton,571945,Miles Mikolas,10,2,1,0,1,0,1,0.0,4.0,10.0,-6.0,1,0.0,4.0,10.0,-6.0,-1,0.0,,4.0,10.0,,,,0.0,0.0,4.0,10.0,4.0,10.0,0.1379,1,0,1,,1,-6,4,10,0,1,1,0,1.0,10.0,4.0,6.0,1,1.0,10.0,4.0,6.0,1,,1.0,,,10.0,4.0,,1.0,1.0,10.0,4.0,10.0,4.0,0.8621,1,0,1,,0,6,10,4,1,0,1,1,0.0,-6,0.1379,104,205,12,1.0,5,1.0,1,0,1,1.0,6,0.8621,104,204,3,0.0,1,0.0,1,1,0.0,-6.0,0,1,1,3,5.3333,3.375,1.125,8.4375,75.0,3.0,1,1,4,5.3333,1.6875,1.5,6.75,107.0,4.0,1,6.3333,2.8421,0.7895,5.6842,1.4211,1.4211,4.0,1.0,4.0,75.0,22.0,1,6.3333,2.8421,0.7895,5.6842,1.4211,1.4211,0,6.3333,2.0,4.0,1.0,4.0,75.0,1,5.0,7.2,1.8,7.2,5.4,1.8,4.0,3.0,6.0,97.0,25.0,1,5.0,7.2,1.8,7.2,5.4,1.8,0,5.0,4.0,6.0,3.0,4.0,97.0
