game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches
823243,2026-03-27T20:35:00+00:00,home,137,San Francisco Giants,147,New York Yankees,592662,Robbie Ray,1,0,1,0.0,0.0,7.0,-7.0,1,0.0,0.0,7.0,-7.0,-1,0.0,,0.0,7.0,,,,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0,1,1,,1,-7,0,7,0,0,1,1,0.0,-7,0.0,104,203,15,1.0,5,1.0,1,1,3,4.0,0.0,0.75,11.25,51.0,3.0,1,5.3333,3.375,0.9375,6.75,0.0,1.6875,4.0,,5.0,89.0,21.0,1,5.3333,3.375,0.9375,6.75,0.0,1.6875,0,5.3333,2.0,5.0,0.0,4.0,89.0
823243,2026-03-27T20:35:00+00:00,away,147,New York Yankees,137,San Francisco Giants,693645,Cam Schlittler,1,1,0,1.0,7.0,0.0,7.0,1,1.0,7.0,0.0,7.0,1,,1.0,,,7.0,0.0,,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0,1,1,,0,7,7,0,1,1,0,1,1.0,7,1.0,103,201,1,0.0,1,0.0,1,1,3,2.6667,0.0,0.75,6.75,35.0,3.0,1,5.3333,0.0,0.1875,13.5,0.0,0.0,8.0,,1.0,68.0,17.0,1,5.3333,0.0,0.1875,13.5,0.0,0.0,0,5.3333,0.0,1.0,0.0,8.0,68.0
822839,2026-03-27T23:07:00+00:00,home,141,Toronto Blue Jays,133,Athletics,592332,Kevin Gausman,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,7,1.0,4,1.0,0,0,0,,,,,,,1,6.0,1.5,0.1667,16.5,0.0,1.5,11.0,,1.0,83.0,19.0,1,6.0,1.5,0.1667,16.5,0.0,1.5,0,6.0,1.0,1.0,0.0,11.0,83.0
822839,2026-03-27T23:07:00+00:00,away,133,Athletics,141,Toronto Blue Jays,622663,Luis Severino,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,200,8,1.0,2,0.5,0,0,0,,,,,,,1,5.0,3.6,1.2,5.4,5.4,0.0,3.0,3.0,3.0,84.0,20.0,1,5.0,3.6,1.2,5.4,5.4,0.0,0,5.0,2.0,3.0,3.0,3.0,84.0
823893,2026-03-27T23:10:00+00:00,home,146,Miami Marlins,115,Colorado Rockies,645261,Sandy Alcantara,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,7,0.5,4,0.5,0,0,0,,,,,,,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,5.0,2.0,4.0,73.0,25.0,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,0,7.0,0.0,4.0,2.0,5.0,73.0
823893,2026-03-27T23:10:00+00:00,away,115,Colorado Rockies,146,Miami Marlins,607536,Kyle Freeland,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,203,8,0.5,2,0.5,0,0,0,,,,,,,1,4.3333,4.1538,1.6154,4.1538,4.1538,0.0,2.0,2.0,5.0,81.0,21.0,1,4.3333,4.1538,1.6154,4.1538,4.1538,0.0,0,4.3333,2.0,5.0,2.0,2.0,81.0
824946,2026-03-27T23:15:00+00:00,home,144,Atlanta Braves,118,Kansas City Royals,519242,Chris Sale,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,8,0.5,5,0.5,0,0,0,,,,,,,1,6.0,0.0,1.0,9.0,4.5,0.0,6.0,3.0,3.0,88.0,23.0,1,6.0,0.0,1.0,9.0,4.5,0.0,0,6.0,0.0,3.0,3.0,6.0,88.0
824946,2026-03-27T23:15:00+00:00,away,118,Kansas City Royals,144,Atlanta Braves,666142,Cole Ragans,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,202,8,1.0,3,0.5,0,0,0,,,,,,,1,4.0,9.0,2.5,11.25,9.0,6.75,5.0,4.0,6.0,90.0,21.0,1,4.0,9.0,2.5,11.25,9.0,6.75,0,4.0,4.0,6.0,4.0,5.0,90.0
824216,2026-03-28T00:15:00+00:00,home,117,Houston Astros,108,Los Angeles Angels,681347,Mike Burrows,1,0,1,0.0,0.0,3.0,-3.0,1,0.0,0.0,3.0,-3.0,-1,0.0,,0.0,3.0,,,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1,0,1,,1,-3,0,3,0,0,1,1,0.0,-3,0.0,103,200,13,1.5,5,1.0,1,1,3,4.3333,6.2308,1.6154,10.3846,91.0,3.0,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,6.0,2.0,9.0,94.0,26.0,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,1,5.6667,5.0,9.0,2.0,6.0,94.0
824216,2026-03-28T00:15:00+00:00,away,108,Los Angeles Angels,117,Houston Astros,579328,Yusei Kikuchi,1,1,0,1.0,3.0,0.0,3.0,1,1.0,3.0,0.0,3.0,1,,1.0,,,3.0,0.0,,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1,0,1,,0,3,3,0,1,1,0,1,1.0,3,1.0,103,200,4,0.5,1,0.0,1,1,4,3.0,0.0,1.0,6.0,39.0,4.0,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,3.0,1.0,8.0,86.0,22.0,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,1,4.3333,2.0,8.0,1.0,3.0,86.0
