game_pk,game_date_utc,status,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,home_score,away_score,target_home_team_win,home_team_games_played,home_team_wins,home_team_losses,home_team_win_pct,home_team_runs_scored_avg,home_team_runs_allowed_avg,home_team_run_diff_avg,home_team_recent_games,home_team_recent_win_pct,home_team_recent_runs_scored_avg,home_team_recent_runs_allowed_avg,home_team_recent_run_diff_avg,home_team_streak,home_team_home_win_pct,home_team_away_win_pct,home_team_one_run_win_pct,away_team_games_played,away_team_wins,away_team_losses,away_team_win_pct,away_team_runs_scored_avg,away_team_runs_allowed_avg,away_team_run_diff_avg,away_team_recent_games,away_team_recent_win_pct,away_team_recent_runs_scored_avg,away_team_recent_runs_allowed_avg,away_team_recent_run_diff_avg,away_team_streak,away_team_home_win_pct,away_team_away_win_pct,away_team_one_run_win_pct,h2h_games,h2h_recent_games,h2h_home_team_recent_win_pct,h2h_home_team_recent_run_diff_avg,h2h_last_meeting_home_team_won,home_pitcher_recent_appearances,home_pitcher_recent_innings_pitched,home_pitcher_recent_era,home_pitcher_recent_whip,home_pitcher_recent_k_per_9,home_pitcher_recent_bb_per_9,home_pitcher_recent_hr_per_9,home_pitcher_recent_strikeouts,home_pitcher_recent_walks,home_pitcher_recent_hits_allowed,home_pitcher_recent_pitches,home_pitcher_recent_batters_faced,away_pitcher_recent_appearances,away_pitcher_recent_innings_pitched,away_pitcher_recent_era,away_pitcher_recent_whip,away_pitcher_recent_k_per_9,away_pitcher_recent_bb_per_9,away_pitcher_recent_hr_per_9,away_pitcher_recent_strikeouts,away_pitcher_recent_walks,away_pitcher_recent_hits_allowed,away_pitcher_recent_pitches,away_pitcher_recent_batters_faced
823243,2026-03-27T20:35:00+00:00,Final,Oracle Park,137,San Francisco Giants,147,New York Yankees,592662,Robbie Ray,693645,Cam Schlittler,0,3,0,1,0,1,0.0,0.0,7.0,-7.0,1,0.0,0.0,7.0,-7.0,-1,0.0,,,1,1,0,1.0,7.0,0.0,7.0,1,1.0,7.0,0.0,7.0,1,,1.0,,1,1,0.0,-7.0,0,1,5.3333,3.375,0.9375,6.75,0.0,1.6875,4.0,,5.0,89.0,21.0,1,5.3333,0.0,0.1875,13.5,0.0,0.0,8.0,,1.0,68.0,17.0
822839,2026-03-27T23:07:00+00:00,Final,Rogers Centre,141,Toronto Blue Jays,133,Athletics,592332,Kevin Gausman,622663,Luis Severino,3,2,1,0,0,0,,,,,0,,,,,0,,,,0,0,0,,,,,0,,,,,0,,,,0,0,,,,1,6.0,1.5,0.1667,16.5,0.0,1.5,11.0,,1.0,83.0,19.0,1,5.0,3.6,1.2,5.4,5.4,0.0,3.0,3.0,3.0,84.0,20.0
823893,2026-03-27T23:10:00+00:00,Final,loanDepot park,146,Miami Marlins,115,Colorado Rockies,645261,Sandy Alcantara,607536,Kyle Freeland,2,1,1,0,0,0,,,,,0,,,,,0,,,,0,0,0,,,,,0,,,,,0,,,,0,0,,,,1,7.0,0.0,0.8571,6.4286,2.5714,0.0,5.0,2.0,4.0,73.0,25.0,1,4.3333,4.1538,1.6154,4.1538,4.1538,0.0,2.0,2.0,5.0,81.0,21.0
824946,2026-03-27T23:15:00+00:00,Final,Truist Park,144,Atlanta Braves,118,Kansas City Royals,519242,Chris Sale,666142,Cole Ragans,6,0,1,0,0,0,,,,,0,,,,,0,,,,0,0,0,,,,,0,,,,,0,,,,0,0,,,,1,6.0,0.0,1.0,9.0,4.5,0.0,6.0,3.0,3.0,88.0,23.0,1,4.0,9.0,2.5,11.25,9.0,6.75,5.0,4.0,6.0,90.0,21.0
824216,2026-03-28T00:15:00+00:00,Final,Daikin Park,117,Houston Astros,108,Los Angeles Angels,681347,Mike Burrows,579328,Yusei Kikuchi,2,6,0,1,0,1,0.0,0.0,3.0,-3.0,1,0.0,0.0,3.0,-3.0,-1,0.0,,,1,1,0,1.0,3.0,0.0,3.0,1,1.0,3.0,0.0,3.0,1,,1.0,,1,1,0.0,-3.0,0,1,5.6667,7.9412,1.9412,9.5294,3.1765,3.1765,6.0,2.0,9.0,94.0,26.0,1,4.3333,4.1538,2.0769,6.2308,2.0769,2.0769,3.0,1.0,8.0,86.0,22.0
823324,2026-03-28T01:40:00+00:00,Final,Petco Park,135,San Diego Padres,116,Detroit Tigers,650633,Michael King,664285,Framber Valdez,2,5,0,1,0,1,0.0,2.0,8.0,-6.0,1,0.0,2.0,8.0,-6.0,-1,0.0,,,1,1,0,1.0,8.0,2.0,6.0,1,1.0,8.0,2.0,6.0,1,,1.0,,1,1,0.0,-6.0,0,1,5.0,0.0,1.0,10.8,7.2,0.0,6.0,4.0,1.0,82.0,20.0,1,6.0,1.5,1.3333,7.5,1.5,0.0,5.0,1.0,7.0,83.0,25.0
823162,2026-03-28T01:45:00+00:00,Final,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,669923,George Kirby,668909,Gavin Williams,5,1,1,1,0,1,0.0,4.0,6.0,-2.0,1,0.0,4.0,6.0,-2.0,-1,0.0,,,1,1,0,1.0,6.0,4.0,2.0,1,1.0,6.0,4.0,2.0,1,,1.0,,1,1,0.0,-2.0,0,1,6.0,1.5,0.6667,9.0,3.0,1.5,6.0,2.0,2.0,90.0,22.0,1,5.0,5.4,1.6,12.6,10.8,1.8,7.0,6.0,2.0,89.0,22.0
823971,2026-03-28T02:10:00+00:00,Final,UNIQLO Field at Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,686218,Emmet Sheehan,669194,Ryne Nelson,5,4,1,1,1,0,1.0,8.0,2.0,6.0,1,1.0,8.0,2.0,6.0,1,1.0,,,1,0,1,0.0,2.0,8.0,-6.0,1,0.0,2.0,8.0,-6.0,-1,,0.0,,1,1,1.0,6.0,1,1,3.3333,10.8,2.1,16.2,5.4,2.7,6.0,2.0,5.0,83.0,16.0,1,4.6667,7.7143,1.0714,7.7143,5.7857,3.8571,4.0,3.0,2.0,83.0,19.0
823082,2026-03-28T18:15:00+00:00,Final,Busch Stadium,138,St. Louis Cardinals,139,Tampa Bay Rays,700241,Michael McGreevy,671212,Joe Boyle,6,5,1,1,1,0,1.0,9.0,7.0,2.0,1,1.0,9.0,7.0,2.0,1,1.0,,,1,0,1,0.0,7.0,9.0,-2.0,1,0.0,7.0,9.0,-2.0,-1,,0.0,,1,1,1.0,2.0,1,1,6.0,0.0,0.3333,7.5,3.0,0.0,5.0,2.0,,96.0,21.0,1,6.0,3.0,0.5,6.0,0.0,0.0,4.0,,3.0,75.0,21.0
824701,2026-03-28T18:20:00+00:00,Final,Wrigley Field,112,Chicago Cubs,120,Washington Nationals,690990,Cade Horton,571945,Miles Mikolas,10,2,1,1,0,1,0.0,4.0,10.0,-6.0,1,0.0,4.0,10.0,-6.0,-1,0.0,,,1,1,0,1.0,10.0,4.0,6.0,1,1.0,10.0,4.0,6.0,1,,1.0,,1,1,0.0,-6.0,0,1,6.3333,2.8421,0.7895,5.6842,1.4211,1.4211,4.0,1.0,4.0,75.0,22.0,1,5.0,7.2,1.8,7.2,5.4,1.8,4.0,3.0,6.0,97.0,25.0
