game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,one_run_win_pct,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced
824135,2026-03-30T20:10:00+00:00,home,118,Kansas City Royals,142,Minnesota Twins,663460,Kris Bubic,3,1,2,0.3333,2.0,4.3333,-2.3333,3,0.3333,2.0,4.3333,-2.3333,1,,0.3333,,0,,,,,,,,,,,
824135,2026-03-30T20:10:00+00:00,away,142,Minnesota Twins,118,Kansas City Royals,680573,Simeon Woods Richardson,3,1,2,0.3333,3.6667,3.6667,0.0,3,0.3333,3.6667,3.6667,0.0,-1,,0.3333,0.0,0,,,,,,,,,,,
824863,2026-03-30T22:35:00+00:00,home,110,Baltimore Orioles,140,Texas Rangers,605135,Chris Bassitt,3,2,1,0.6667,3.6667,3.6667,0.0,3,0.6667,3.6667,3.6667,0.0,1,0.6667,,1.0,0,,,,,,,,,,,
824863,2026-03-30T22:35:00+00:00,away,140,Texas Rangers,110,Baltimore Orioles,683004,Jack Leiter,3,2,1,0.6667,5.3333,4.0,1.3333,3,0.6667,5.3333,4.0,1.3333,2,,0.6667,1.0,0,,,,,,,,,,,
824539,2026-03-30T22:40:00+00:00,home,113,Cincinnati Reds,134,Pittsburgh Pirates,695505,Chase Burns,3,2,1,0.6667,3.0,3.3333,-0.3333,3,0.6667,3.0,3.3333,-0.3333,2,0.6667,,1.0,0,,,,,,,,,,,
824539,2026-03-30T22:40:00+00:00,away,134,Pittsburgh Pirates,113,Cincinnati Reds,677952,Braxton Ashcraft,3,1,2,0.3333,4.3333,6.0,-1.6667,3,0.3333,4.3333,6.0,-1.6667,1,,0.3333,1.0,0,,,,,,,,,,,
823484,2026-03-30T22:40:00+00:00,home,143,Philadelphia Phillies,120,Washington Nationals,592836,Taijuan Walker,3,1,2,0.3333,4.0,5.3333,-1.3333,3,0.3333,4.0,5.3333,-1.3333,-2,0.3333,,0.0,0,,,,,,,,,,,
823484,2026-03-30T22:40:00+00:00,away,120,Washington Nationals,143,Philadelphia Phillies,656492,Foster Griffin,3,2,1,0.6667,6.0,5.6667,0.3333,3,0.6667,6.0,5.6667,0.3333,1,,0.6667,,0,,,,,,,,,,,
823890,2026-03-30T22:40:00+00:00,home,146,Miami Marlins,145,Chicago White Sox,663978,Chris Paddack,3,3,0,1.0,3.3333,2.3333,1.0,3,1.0,3.3333,2.3333,1.0,3,1.0,,1.0,0,,,,,,,,,,,
823890,2026-03-30T22:40:00+00:00,away,145,Chicago White Sox,146,Miami Marlins,663436,Davis Martin,3,0,3,0.0,3.3333,9.6667,-6.3333,3,0.0,3.3333,9.6667,-6.3333,-3,,0.0,,0,,,,,,,,,,,
