game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
824861,2026-03-31T22:35:00+00:00,home,110,Baltimore Orioles,140,Texas Rangers,621107,Zach Eflin,165,92,73,0.5576,4.8545,4.3152,0.5394,15,0.5333,5.0,4.6,0.4,-1,0.5432,0.5714,4.6296,4.321,5.0714,4.3095,0.4375,0.6667,0.8,6.6667,4.0,7.2,3.2,0.5586,367,0,0,,0,-6,2,8,0,92,73,165,0.5576,89,0.5586,103,201,3,4.0,2,4.0,15,5.0,9.3333,3.0667,9.2,1.6667,1.4667,0.0,0.4667,14.4,35.5333,0.314,0.4344,4.6,7.7333,3.5333,8.5333,1.2667,0.3333,5,5,17,21.6667,2.9077,1.4308,7.0615,351.0,3.4,0,,,,,,,,,,,,0,,,,,,,,,,,,,,31,78.0,220.0,1,0,1,0
824861,2026-03-31T22:35:00+00:00,away,140,Texas Rangers,110,Baltimore Orioles,594798,Jacob deGrom,165,80,85,0.4848,4.1939,4.5152,-0.3212,15,0.5333,4.4,4.3333,0.0667,1,0.5422,0.4268,4.1205,3.8675,4.2683,5.1707,0.5652,0.6667,0.8,4.6667,2.0,5.6,3.2,0.4632,366,0,0,,1,3,4,1,1,80,85,165,0.4848,-53,0.4632,103,200,11,16.0,3,10.0,15,4.4,8.0,2.9333,7.8667,1.3333,1.2667,0.0667,0.9333,12.7333,33.7333,0.2839,0.3819,4.3333,9.0,2.8667,8.4667,0.9333,0.8667,5,5,21,19.0,2.3684,1.1579,9.9474,330.0,4.2,0,,,,,,,,,,,,0,,,,,,,,,,,,,,37,76.0,180.0,1,0,0,1
824537,2026-03-31T22:40:00+00:00,home,113,Cincinnati Reds,134,Pittsburgh Pirates,682227,Brandon Williamson,163,77,86,0.4724,4.3129,4.2945,0.0184,15,0.4,3.7333,4.5333,-0.8,-1,0.4756,0.4691,4.4024,4.7927,4.2222,3.7901,0.3488,0.3333,0.2,2.3333,3.0,1.8,3.0,0.5021,368,0,0,,1,-2,4,6,0,77,86,163,0.4724,3,0.5021,104,205,11,23.5,4,16.0,15,3.7333,7.3333,3.2,7.8,0.6667,1.2,0.3333,0.6667,12.6,32.2667,0.2879,0.336,4.5333,8.4,2.8,8.4,1.5333,0.2,5,4,17,16.0,5.625,1.3125,9.0,244.0,3.4,0,,,,,,,,,,,,0,,,,,,,,,,,,,,27,78.0,210.0,0,1,1,0
824537,2026-03-31T22:40:00+00:00,away,134,Pittsburgh Pirates,113,Cincinnati Reds,696149,Bubba Chandler,164,77,87,0.4695,4.1037,4.5549,-0.4512,15,0.4,3.0667,4.4667,-1.4,1,0.4815,0.4578,4.2346,4.7901,3.9759,4.3253,0.4906,0.3333,0.6,4.0,4.6667,5.0,4.0,0.448,367,0,0,,0,1,4,3,1,77,87,164,0.4695,-74,0.448,104,205,12,24.0,5,16.5,15,3.0667,6.9333,3.1333,9.7333,1.2,1.2667,0.0667,1.1333,13.8667,32.6667,0.2784,0.3593,4.4667,7.2,3.9333,8.6,0.7333,0.7333,5,5,23,22.3333,4.0299,1.4776,11.2836,437.0,4.6,0,,,,,,,,,,,,0,,,,,,,,,,,,,,23,75.0,206.0,1,0,0,0
823485,2026-03-31T22:40:00+00:00,home,143,Philadelphia Phillies,120,Washington Nationals,691725,Andrew Painter,163,96,67,0.589,4.8528,4.135,0.7178,15,0.4667,4.5333,4.6,-0.0667,2,0.6667,0.5122,5.0617,3.9753,4.6463,4.2927,0.5349,0.6667,0.6,5.3333,4.0,5.2,5.4,0.5794,368,0,0,,0,4,7,3,1,96,67,163,0.589,117,0.5794,104,204,2,4.5,1,0.0,15,4.5333,8.1333,2.7333,10.4,1.3333,1.5333,0.2,1.1333,12.7333,33.5333,0.2922,0.4084,4.6,8.5333,3.4,9.6,1.1333,0.3333,5,5,19,20.0,4.5,1.5,9.0,365.0,3.8,0,,,,,,,,,,,,0,,,,,,,,,,,,,,22,79.0,215.0,1,0,1,0
823485,2026-03-31T22:40:00+00:00,away,120,Washington Nationals,143,Philadelphia Phillies,676571,PJ Poulin,163,71,92,0.4356,4.0675,4.7301,-0.6626,15,0.2667,2.8667,4.6,-1.7333,-2,0.4634,0.4074,4.0732,4.6341,4.0617,4.8272,0.3784,0.3333,0.4,4.0,5.3333,5.0,4.8,0.4251,368,0,0,,1,-4,3,7,0,71,92,163,0.4356,-108,0.4251,104,204,13,29.5,4,25.0,15,2.8667,7.5333,2.6,8.2,0.7333,0.9333,0.1333,1.1333,14.3333,33.0,0.2801,0.3241,4.6,7.5333,3.2,8.6,1.1333,0.4,5,5,19,19.3333,6.0517,1.3966,7.4483,329.0,3.8,2,1.6667,0.0,1.8,5.4,10.8,0.0,1.0,2.0,1.0,38.0,8.0,2,1.6667,0.0,1.8,5.4,10.8,0.0,2,0.6667,0.0,0.0,1.0,1.0,14.0,29,73.0,195.0,0,1,1,0
823888,2026-03-31T22:40:00+00:00,home,146,Miami Marlins,145,Chicago White Sox,676083,Janson Junk,164,63,101,0.3841,3.9329,5.1768,-1.2439,15,0.5333,5.4,5.6667,-0.2667,-1,0.3735,0.3951,4.2289,5.988,3.6296,4.3457,0.5333,0.6667,0.8,3.6667,3.0,6.8,3.0,0.366,367,0,0,,1,-1,3,4,0,63,101,164,0.3841,-204,0.366,104,204,14,38.0,5,33.5,15,5.4,9.7333,3.5333,10.0667,1.1333,1.8,0.4,0.8,16.4,35.5333,0.3346,0.4346,5.6667,9.3333,4.0667,7.4,1.5333,1.0,5,5,11,19.0,1.4211,1.2105,8.0526,307.0,2.2,0,,,,,,,,,,,,0,,,,,,,,,,,,,,30,74.0,197.0,1,0,1,0
823888,2026-03-31T22:40:00+00:00,away,145,Chicago White Sox,146,Miami Marlins,607200,Erick Fedde,164,42,122,0.2561,3.1463,4.9817,-1.8354,15,0.6,4.2667,3.3333,0.9333,3,0.2892,0.2222,3.1446,4.6988,3.1481,5.2716,0.3095,1.0,0.8,7.0,2.0,5.8,2.0,0.2851,368,0,0,,1,7,8,1,1,42,122,164,0.2561,-301,0.2851,103,202,15,53.5,5,52.0,15,4.2667,7.6667,2.6,8.2,1.4,1.1333,0.0667,0.3333,13.1333,34.2,0.2738,0.3792,3.3333,7.1333,4.2,9.4,0.8667,0.1333,5,5,16,17.6667,2.5472,1.3019,10.1887,323.0,3.2,0,,,,,,,,,,,,0,,,,,,,,,,,,,,33,76.0,205.0,1,0,1,0
822836,2026-03-31T23:07:00+00:00,home,141,Toronto Blue Jays,115,Colorado Rockies,453286,Max Scherzer,165,76,89,0.4606,4.1515,4.5939,-0.4424,15,0.2667,3.2667,5.0667,-1.8,1,0.4819,0.439,4.1446,4.9277,4.1585,4.2561,0.3878,0.3333,0.2,3.6667,5.6667,3.4,8.0,0.4495,367,0,0,,1,6,8,2,1,76,89,165,0.4606,-73,0.4495,103,201,12,20.0,5,20.0,15,3.2667,7.7333,3.4,7.5333,0.5333,1.2667,0.1333,0.4,15.8667,32.6,0.3022,0.3279,5.0667,8.2667,3.7333,8.0,1.2667,0.4667,5,5,20,25.0,7.56,1.6,7.92,422.0,4.0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,41,75.0,208.0,1,0,1,0
822836,2026-03-31T23:07:00+00:00,away,115,Colorado Rockies,141,Toronto Blue Jays,663372,Ryan Feltner,163,61,102,0.3742,4.1963,5.7178,-1.5215,15,0.3333,4.1333,5.8667,-1.7333,-4,0.4568,0.2927,4.8889,5.8272,3.5122,5.6098,0.5417,0.0,0.2,1.6667,6.0,3.8,7.4,0.3501,367,0,0,,0,-1,2,3,0,61,102,163,0.3742,-248,0.3501,104,203,15,39.5,5,39.5,15,4.1333,7.7333,3.1333,11.2,1.1333,2.0,0.2,0.6667,13.6667,32.8667,0.2982,0.4083,5.8667,10.2667,4.0,7.6,2.0,0.6,5,5,18,20.0,8.1,2.0,10.8,379.0,3.6,0,,,,,,,,,,,,0,,,,,,,,,,,,,,29,76.0,190.0,1,0,1,0
