game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,boxscore_recent_games,boxscore_batting_runs_avg,boxscore_batting_hits_avg,boxscore_batting_walks_avg,boxscore_batting_strikeouts_avg,boxscore_batting_home_runs_avg,boxscore_batting_doubles_avg,boxscore_batting_triples_avg,boxscore_batting_stolen_bases_avg,boxscore_batting_left_on_base_avg,boxscore_batting_at_bats_avg,boxscore_batting_obp_proxy_avg,boxscore_batting_slg_proxy_avg,boxscore_pitching_runs_allowed_avg,boxscore_pitching_hits_allowed_avg,boxscore_pitching_walks_allowed_avg,boxscore_pitching_strikeouts_avg,boxscore_pitching_home_runs_allowed_avg,boxscore_fielding_errors_avg,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches,pitcher_profile_age,pitcher_profile_height_inches,pitcher_profile_weight_lbs,pitcher_profile_throws_right,pitcher_profile_throws_left,pitcher_profile_bats_right,pitcher_profile_bats_left
824861,2026-03-31T22:35:00+00:00,home,110,Baltimore Orioles,140,Texas Rangers,621107,Zach Eflin,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,1,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,31,78.0,220.0,1,0,1,0
824861,2026-03-31T22:35:00+00:00,away,140,Texas Rangers,110,Baltimore Orioles,594798,Jacob deGrom,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,200,11,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,37,76.0,180.0,1,0,0,1
824537,2026-03-31T22:40:00+00:00,home,113,Cincinnati Reds,134,Pittsburgh Pirates,682227,Brandon Williamson,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,205,1,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,27,78.0,210.0,0,1,1,0
824537,2026-03-31T22:40:00+00:00,away,134,Pittsburgh Pirates,113,Cincinnati Reds,696149,Bubba Chandler,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,205,8,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,23,75.0,206.0,1,0,0,0
823485,2026-03-31T22:40:00+00:00,home,143,Philadelphia Phillies,120,Washington Nationals,691725,Andrew Painter,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,14,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,22,79.0,215.0,1,0,1,0
823485,2026-03-31T22:40:00+00:00,away,120,Washington Nationals,143,Philadelphia Phillies,676571,PJ Poulin,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,2,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,2,1.6667,0.0,1.8,5.4,10.8,0.0,1.0,2.0,1.0,38.0,8.0,2,1.6667,0.0,1.8,5.4,10.8,0.0,2,0.6667,0.0,0.0,1.0,1.0,14.0,29,73.0,195.0,0,1,1,0
823888,2026-03-31T22:40:00+00:00,home,146,Miami Marlins,145,Chicago White Sox,676083,Janson Junk,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,204,7,0.0,2,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,30,74.0,197.0,1,0,1,0
823888,2026-03-31T22:40:00+00:00,away,145,Chicago White Sox,146,Miami Marlins,607200,Erick Fedde,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,202,7,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,33,76.0,205.0,1,0,1,0
822836,2026-03-31T23:07:00+00:00,home,141,Toronto Blue Jays,115,Colorado Rockies,453286,Max Scherzer,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,103,201,4,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,41,75.0,208.0,1,0,1,0
822836,2026-03-31T23:07:00+00:00,away,115,Colorado Rockies,141,Toronto Blue Jays,663372,Ryan Feltner,0,0,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0.0,0,,104,203,11,0.0,5,0.0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,29,76.0,190.0,1,0,1,0
